entry_time,exit_time,signal,entry_price,exit_price,pnl,reason,duration
2025-11-18 16:00:00,2025-11-19 05:00:00,SELL,93499.16,90459.99,3.150478400019848,Take Profit,13.0
2025-11-18 18:00:00,2025-11-19 05:00:00,SELL,93331.08,90459.99,2.976242126417048,Take Profit,11.0
2025-11-18 17:00:00,2025-11-19 15:00:00,SELL,93256.92,89951.7,3.4442088372637665,Take Profit,22.0
2025-11-23 14:00:00,2025-11-24 00:00:00,BUY,86547.4,86740.64,0.12445636418683274,Trailing Stop,10.0
2025-11-23 16:00:00,2025-11-24 00:00:00,BUY,86685.6,86740.64,-0.03685557670740976,Trailing Stop,8.0
2025-11-23 23:00:00,2025-11-24 09:00:00,BUY,86830.0,85944.91,-1.1300497266695433,Trailing Stop,10.0
2025-11-24 00:00:00,2025-11-24 09:00:00,BUY,86740.64,85944.91,-1.0271932617559278,Trailing Stop,9.0
2025-11-24 02:00:00,2025-11-24 09:00:00,BUY,87518.22,85944.91,-1.916023177161051,Trailing Stop,7.0
2025-11-24 17:00:00,2025-11-25 08:00:00,BUY,88369.91,87009.82,-1.6482419649062623,Trailing Stop,15.0
2025-11-25 07:00:00,2025-11-26 09:00:00,BUY,87384.81,86825.27,-0.744452103108851,Trailing Stop,26.0
2025-11-25 10:00:00,2025-11-26 09:00:00,BUY,87411.01,86825.27,-0.7731305476845638,Trailing Stop,23.0
2025-11-26 17:00:00,2025-11-28 13:00:00,BUY,89830.79,92377.01,2.7410783037335618,Take Profit,44.0
2025-11-26 18:00:00,2025-11-28 13:00:00,BUY,90145.69,92377.01,2.380984328172996,Take Profit,43.0
2025-11-26 19:00:00,2025-11-28 13:00:00,BUY,89957.36,92377.01,2.596040157351174,Take Profit,42.0
2025-11-26 20:00:00,2025-11-28 13:00:00,BUY,89866.82,92377.01,2.6997494794959325,Take Profit,41.0
2025-11-28 13:00:00,2025-11-28 16:00:00,BUY,92377.01,90936.23,-1.6809794922624213,Trailing Stop,3.0
2025-11-28 14:00:00,2025-11-28 16:00:00,BUY,92250.01,90936.23,-1.5437175858203807,Trailing Stop,2.0
2025-11-28 15:00:00,2025-11-28 16:00:00,BUY,92362.49,90936.23,-1.6653053526308665,Trailing Stop,1.0
2025-11-27 02:00:00,2025-11-28 17:00:00,BUY,91389.21,90663.98,-0.8957238722896239,Trailing Stop,39.0
2025-11-30 08:00:00,2025-11-30 21:00:00,BUY,91184.45,91174.22,-0.11200328632804096,Trailing Stop,13.0
2025-11-30 09:00:00,2025-11-30 21:00:00,BUY,91413.07,91174.22,-0.36383412308115387,Trailing Stop,12.0
2025-11-28 16:00:00,2025-11-30 23:00:00,BUY,90936.23,90360.0,-0.7394944709931048,Trailing Stop,55.0
2025-11-30 13:00:00,2025-11-30 23:00:00,BUY,91769.99,90360.0,-1.6479785479849642,Trailing Stop,10.0
2025-11-28 17:00:00,2025-12-01 00:00:00,BUY,90663.98,87000.0,-4.170476629568932,Trailing Stop,55.0
2025-11-30 23:00:00,2025-12-01 00:00:00,BUY,90360.0,87000.0,-3.834452177071497,Trailing Stop,1.0
2025-12-02 07:00:00,2025-12-02 13:00:00,SELL,87012.65,87731.41,-0.9225064155130519,Trailing Stop,6.0
2025-12-02 05:00:00,2025-12-02 14:00:00,SELL,87008.2,89271.99,-2.6915003067151733,Trailing Stop,9.0
2025-12-02 06:00:00,2025-12-02 14:00:00,SELL,87090.46,89271.99,-2.5949591671725125,Trailing Stop,8.0
2025-12-02 09:00:00,2025-12-02 14:00:00,SELL,86769.87,89271.99,-2.97224015848451,Trailing Stop,5.0
2025-12-02 10:00:00,2025-12-02 14:00:00,SELL,87272.44,89271.99,-2.3820323108424697,Trailing Stop,4.0
2025-12-03 14:00:00,2025-12-04 13:00:00,BUY,92357.54,92516.38,0.07087668813884337,Trailing Stop,23.0
2025-12-03 15:00:00,2025-12-04 14:00:00,BUY,92373.3,91894.01,-0.6093440080681602,Trailing Stop,23.0
2025-12-04 15:00:00,2025-12-05 09:00:00,BUY,92971.49,91128.56,-2.0491067479465954,Trailing Stop,18.0
2025-12-07 22:00:00,2025-12-08 10:00:00,BUY,89597.03,92133.4,2.6817971646144145,Take Profit,12.0
2025-12-07 21:00:00,2025-12-08 15:00:00,BUY,90231.32,89961.37,-0.39200331665106475,Trailing Stop,18.0
2025-12-08 14:00:00,2025-12-09 01:00:00,BUY,90852.56,90055.8,-0.962047508966291,Trailing Stop,11.0
2025-12-08 15:00:00,2025-12-09 01:00:00,BUY,89961.37,90055.8,0.004889401076339062,Trailing Stop,10.0
2025-12-09 15:00:00,2025-12-09 21:00:00,BUY,92707.51,92640.0,-0.16994558009367072,Trailing Stop,6.0
2025-12-09 16:00:00,2025-12-09 21:00:00,BUY,94187.81,92640.0,-1.714323139871551,Trailing Stop,5.0
2025-12-09 17:00:00,2025-12-10 00:00:00,BUY,93917.99,92130.81,-1.9695973114404337,Trailing Stop,7.0
2025-12-10 08:00:00,2025-12-10 14:00:00,BUY,92605.0,91831.24,-0.9163806414641016,Trailing Stop,6.0
2025-12-10 14:00:00,2025-12-10 23:00:00,BUY,91831.24,92015.37,0.09835770056608756,Trailing Stop,9.0
2025-12-10 06:00:00,2025-12-11 00:00:00,BUY,92700.0,91386.17,-1.486204968086563,Trailing Stop,18.0
2025-12-10 18:00:00,2025-12-11 00:00:00,BUY,92503.48,91386.17,-1.2798624492782442,Trailing Stop,6.0
2025-12-10 19:00:00,2025-12-11 00:00:00,BUY,92957.67,91386.17,-1.7522274296360079,Trailing Stop,5.0
2025-12-10 20:00:00,2025-12-11 01:00:00,BUY,92453.89,90674.74,-1.9810329524313441,Trailing Stop,5.0
2025-12-11 21:00:00,2025-12-12 15:00:00,SELL,92858.39,89935.14,2.963318177543047,Take Profit,18.0
2025-12-12 14:00:00,2025-12-12 15:00:00,BUY,92444.0,89935.14,-2.735679942190167,Trailing Stop,1.0
2025-12-13 10:00:00,2025-12-13 17:00:00,SELL,90595.13,90052.61,0.4850829089865051,Take Profit,7.0
2025-12-11 20:00:00,2025-12-14 11:00:00,SELL,91792.99,89360.0,2.4795984184003794,Take Profit,63.0
2025-12-12 15:00:00,2025-12-14 11:00:00,BUY,89935.14,89360.0,-0.7191109197033643,Trailing Stop,44.0
2025-12-12 16:00:00,2025-12-14 11:00:00,BUY,90046.54,89360.0,-0.8386435538214734,Trailing Stop,43.0
